type,event,id,created_at,modified_at
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/32.0.800.0 Mobile/55U948 Safari/532.1"", ""ip"": ""169.17.86.14"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/4""}",11,2025-01-31 12:54:24.434899,2025-01-31 12:54:24.434899
VISIT_RELATED_PRODUCT,"{""user-agent"": ""Opera/9.71.(Windows NT 4.0; fy-NL) Presto/2.9.176 Version/11.00"", ""ip"": ""70.26.253.189"", ""customer-id"": null, ""product"": 1, ""position"": 0}",12,2025-01-31 12:54:24.593307,2025-01-31 12:54:24.593307
PAGE_VIEW,"{""user-agent"": ""Opera/9.71.(Windows NT 4.0; fy-NL) Presto/2.9.176 Version/11.00"", ""ip"": ""70.26.253.189"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/1"", ""referrer"": ""https://smith.org""}",13,2025-01-31 12:54:24.636428,2025-01-31 12:54:24.636428
PAGE_VIEW,"{""user-agent"": ""Opera/8.37.(X11; Linux i686; sd-IN) Presto/2.9.179 Version/11.00"", ""ip"": ""6.2.139.42"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://russell.com""}",14,2025-01-31 12:54:24.716431,2025-01-31 12:54:24.716431
PAGE_VIEW,"{""user-agent"": ""Opera/8.37.(X11; Linux i686; sd-IN) Presto/2.9.179 Version/11.00"", ""ip"": ""6.2.139.42"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/9""}",15,2025-01-31 12:54:24.792827,2025-01-31 12:54:24.792827
PAGE_VIEW,"{""user-agent"": ""Opera/8.39.(X11; Linux x86_64; pa-IN) Presto/2.9.160 Version/11.00"", ""ip"": ""218.145.145.105"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://smith.org""}",16,2025-01-31 12:54:24.953971,2025-01-31 12:54:24.953971
PAGE_VIEW,"{""user-agent"": ""Opera/8.39.(X11; Linux x86_64; pa-IN) Presto/2.9.160 Version/11.00"", ""ip"": ""218.145.145.105"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/13""}",17,2025-01-31 12:54:25.022649,2025-01-31 12:54:25.022649
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/3.1)"", ""ip"": ""164.210.196.62"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://gonzalez.com""}",18,2025-01-31 12:54:25.155747,2025-01-31 12:54:25.155747
SEARCH,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/3.1)"", ""ip"": ""164.210.196.62"", ""customer-id"": null, ""query"": ""Team-oriented client-server algorithm""}",19,2025-01-31 12:54:25.222368,2025-01-31 12:54:25.222368
PAGE_VIEW,"{""user-agent"": ""Opera/8.59.(X11; Linux i686; ro-RO) Presto/2.9.188 Version/11.00"", ""ip"": ""100.12.214.53"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com""}",20,2025-01-31 12:54:25.272617,2025-01-31 12:54:25.272617
PAGE_VIEW,"{""user-agent"": ""Opera/8.59.(X11; Linux i686; ro-RO) Presto/2.9.188 Version/11.00"", ""ip"": ""100.12.214.53"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/2""}",21,2025-01-31 12:54:25.341796,2025-01-31 12:54:25.341796
SEARCH,"{""user-agent"": ""Mozilla/5.0 (Windows CE) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/33.0.803.0 Safari/531.1"", ""ip"": ""122.237.54.26"", ""customer-id"": null, ""query"": ""Managed human-resource encoding""}",22,2025-01-31 12:54:25.465063,2025-01-31 12:54:25.465063
PAGE_VIEW,"{""user-agent"": ""Opera/9.33.(X11; Linux x86_64; ayc-PE) Presto/2.9.167 Version/12.00"", ""ip"": ""135.86.66.83"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/22""}",23,2025-01-31 12:54:25.614558,2025-01-31 12:54:25.614558
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/11.3y5970.0 Mobile/08N262 Safari/535.0"", ""ip"": ""205.26.170.62"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://google.com""}",24,2025-01-31 12:54:25.712846,2025-01-31 12:54:25.712846
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/11.3y5970.0 Mobile/08N262 Safari/535.0"", ""ip"": ""205.26.170.62"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/9""}",25,2025-01-31 12:54:25.778355,2025-01-31 12:54:25.778355
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0)"", ""ip"": ""8.107.153.45"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://google.com""}",26,2025-01-31 12:54:25.920963,2025-01-31 12:54:25.920963
VISIT_PERSONAL_RECOMMENDATION,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0)"", ""ip"": ""8.107.153.45"", ""customer-id"": null, ""product"": 13, ""position"": 1}",27,2025-01-31 12:54:26.038828,2025-01-31 12:54:26.038828
SIGN_UP_SUCCESS,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0)"", ""ip"": ""8.107.153.45"", ""customer-id"": 191}",28,2025-01-31 12:54:26.224386,2025-01-31 12:54:26.224386
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0)"", ""ip"": ""8.107.153.45"", ""customer-id"": 191, ""page"": ""https://xcc-webshop.com/products/13""}",29,2025-01-31 12:54:26.257609,2025-01-31 12:54:26.257609
SIGN_UP_SUCCESS,"{""user-agent"": ""Opera/8.56.(Windows NT 5.0; mi-NZ) Presto/2.9.185 Version/11.00"", ""ip"": ""116.36.64.208"", ""customer-id"": 153}",1339,2025-01-31 12:55:59.296409,2025-01-31 12:55:59.296409
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.1)"", ""ip"": ""123.234.190.161"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://russell.com""}",30,2025-01-31 12:54:26.343069,2025-01-31 12:54:26.343069
VISIT_RELATED_PRODUCT,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.1)"", ""ip"": ""123.234.190.161"", ""customer-id"": null, ""product"": 11, ""position"": 0}",31,2025-01-31 12:54:26.406197,2025-01-31 12:54:26.406197
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.1)"", ""ip"": ""123.234.190.161"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/11""}",32,2025-01-31 12:54:26.440605,2025-01-31 12:54:26.440605
SEARCH,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/3.1)"", ""ip"": ""30.118.231.98"", ""customer-id"": null, ""query"": ""Decentralized incremental flexibility""}",33,2025-01-31 12:54:26.510557,2025-01-31 12:54:26.510557
PAGE_VIEW,"{""user-agent"": ""Opera/8.16.(Windows CE; lv-LV) Presto/2.9.165 Version/10.00"", ""ip"": ""6.182.141.49"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://smith.org""}",34,2025-01-31 12:54:26.545968,2025-01-31 12:54:26.545968
VISIT_PERSONAL_RECOMMENDATION,"{""user-agent"": ""Opera/8.16.(Windows CE; lv-LV) Presto/2.9.165 Version/10.00"", ""ip"": ""6.182.141.49"", ""customer-id"": null, ""product"": 3, ""position"": 1}",35,2025-01-31 12:54:26.608598,2025-01-31 12:54:26.608598
PAGE_VIEW,"{""user-agent"": ""Opera/8.16.(Windows CE; lv-LV) Presto/2.9.165 Version/10.00"", ""ip"": ""6.182.141.49"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/3""}",36,2025-01-31 12:54:26.642671,2025-01-31 12:54:26.642671
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Windows 95; nso-ZA; rv:1.9.1.20) Gecko/2014-07-17 02:29:45 Firefox/11.0"", ""ip"": ""139.65.98.22"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/17""}",37,2025-01-31 12:54:26.706644,2025-01-31 12:54:26.706644
VISIT_PERSONAL_RECOMMENDATION,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/3.1)"", ""ip"": ""191.10.241.88"", ""customer-id"": null, ""product"": 11, ""position"": 3}",38,2025-01-31 12:54:26.814725,2025-01-31 12:54:26.814725
SIGN_UP_SUCCESS,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/3.1)"", ""ip"": ""191.10.241.88"", ""customer-id"": 6}",39,2025-01-31 12:54:26.989048,2025-01-31 12:54:26.989048
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/3.1)"", ""ip"": ""191.10.241.88"", ""customer-id"": 6, ""page"": ""https://xcc-webshop.com/products/11"", ""referrer"": ""https://orr.info""}",40,2025-01-31 12:54:27.022101,2025-01-31 12:54:27.022101
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.1)"", ""ip"": ""182.125.224.42"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://smith.org""}",41,2025-01-31 12:54:27.084657,2025-01-31 12:54:27.084657
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.1)"", ""ip"": ""182.125.224.42"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/22""}",42,2025-01-31 12:54:27.146753,2025-01-31 12:54:27.146753
PAGE_VIEW,"{""user-agent"": ""Opera/9.12.(X11; Linux i686; kok-IN) Presto/2.9.188 Version/10.00"", ""ip"": ""1.216.17.177"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/9""}",43,2025-01-31 12:54:27.241323,2025-01-31 12:54:27.241323
PAGE_VIEW,"{""user-agent"": ""Opera/8.24.(X11; Linux x86_64; ik-CA) Presto/2.9.173 Version/12.00"", ""ip"": ""178.6.113.77"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://sherman.org""}",44,2025-01-31 12:54:27.305701,2025-01-31 12:54:27.305701
PAGE_VIEW,"{""user-agent"": ""Opera/8.24.(X11; Linux x86_64; ik-CA) Presto/2.9.173 Version/12.00"", ""ip"": ""178.6.113.77"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/2""}",45,2025-01-31 12:54:27.373472,2025-01-31 12:54:27.373472
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10 9_6 rv:5.0; fr-FR) AppleWebKit/535.7.3 (KHTML, like Gecko) Version/5.0.4 Safari/535.7.3"", ""ip"": ""193.170.22.38"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/20""}",46,2025-01-31 12:54:27.474681,2025-01-31 12:54:27.474681
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2012-01-24 15:25:44 Firefox/3.6.10"", ""ip"": ""36.163.110.92"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://google.com""}",47,2025-01-31 12:54:27.510442,2025-01-31 12:54:27.510442
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2012-01-24 15:25:44 Firefox/3.6.10"", ""ip"": ""36.163.110.92"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/4""}",48,2025-01-31 12:54:27.581217,2025-01-31 12:54:27.581217
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 6_5) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/34.0.868.0 Safari/536.1"", ""ip"": ""147.32.219.236"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://google.com""}",49,2025-01-31 12:54:27.619318,2025-01-31 12:54:27.619318
SEARCH,"{""user-agent"": ""Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 6_5) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/34.0.868.0 Safari/536.1"", ""ip"": ""147.32.219.236"", ""customer-id"": null, ""query"": ""Seamless clear-thinking frame""}",50,2025-01-31 12:54:27.728662,2025-01-31 12:54:27.728662
PAGE_VIEW,"{""user-agent"": ""Opera/9.55.(X11; Linux i686; lo-LA) Presto/2.9.177 Version/12.00"", ""ip"": ""87.172.17.121"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/5""}",51,2025-01-31 12:54:27.779310,2025-01-31 12:54:27.779310
VISIT_RELATED_PRODUCT,"{""user-agent"": ""Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/535.29.3 (KHTML, like Gecko) Version/5.1 Safari/535.29.3"", ""ip"": ""140.60.150.250"", ""customer-id"": null, ""product"": 1, ""position"": 0}",52,2025-01-31 12:54:27.922627,2025-01-31 12:54:27.922627
SIGN_UP_SUCCESS,"{""user-agent"": ""Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/535.29.3 (KHTML, like Gecko) Version/5.1 Safari/535.29.3"", ""ip"": ""140.60.150.250"", ""customer-id"": 13}",53,2025-01-31 12:54:28.118864,2025-01-31 12:54:28.118864
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/535.29.3 (KHTML, like Gecko) Version/5.1 Safari/535.29.3"", ""ip"": ""140.60.150.250"", ""customer-id"": 13, ""page"": ""https://xcc-webshop.com/products/1"", ""referrer"": ""https://gonzalez.com""}",54,2025-01-31 12:54:28.154621,2025-01-31 12:54:28.154621
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/61.0.834.0 Mobile/55P057 Safari/534.0"", ""ip"": ""111.154.221.218"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/16""}",55,2025-01-31 12:54:28.251976,2025-01-31 12:54:28.251976
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 6_5 rv:2.0; kw-GB) AppleWebKit/533.43.3 (KHTML, like Gecko) Version/4.1 Safari/533.43.3"", ""ip"": ""31.115.17.52"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/14""}",56,2025-01-31 12:54:28.332762,2025-01-31 12:54:28.332762
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Linux; Android 2.3.3) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.840.0 Safari/531.2"", ""ip"": ""166.242.252.179"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://gonzalez.com""}",57,2025-01-31 12:54:28.373620,2025-01-31 12:54:28.373620
SEARCH,"{""user-agent"": ""Mozilla/5.0 (Linux; Android 2.3.3) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.840.0 Safari/531.2"", ""ip"": ""166.242.252.179"", ""customer-id"": null, ""query"": ""Digitized didactic definition""}",58,2025-01-31 12:54:28.441297,2025-01-31 12:54:28.441297
PAGE_VIEW,"{""user-agent"": ""Opera/9.71.(Windows NT 4.0; fy-NL) Presto/2.9.176 Version/11.00"", ""ip"": ""70.26.253.189"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/1""}",116,2025-01-31 12:54:31.805634,2025-01-31 12:54:31.805634
VISIT_PERSONAL_RECOMMENDATION,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10 12_8 rv:4.0; om-KE) AppleWebKit/531.42.3 (KHTML, like Gecko) Version/4.0 Safari/531.42.3"", ""ip"": ""188.211.254.252"", ""customer-id"": null, ""product"": 3, ""position"": 5}",59,2025-01-31 12:54:28.475022,2025-01-31 12:54:28.475022
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10 12_8 rv:4.0; om-KE) AppleWebKit/531.42.3 (KHTML, like Gecko) Version/4.0 Safari/531.42.3"", ""ip"": ""188.211.254.252"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/3""}",60,2025-01-31 12:54:28.509314,2025-01-31 12:54:28.509314
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/30.0.817.0 Mobile/58E682 Safari/534.0"", ""ip"": ""47.29.18.73"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://smith.org""}",61,2025-01-31 12:54:28.571998,2025-01-31 12:54:28.571998
VISIT_RELATED_PRODUCT,"{""user-agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/30.0.817.0 Mobile/58E682 Safari/534.0"", ""ip"": ""47.29.18.73"", ""customer-id"": null, ""product"": 11, ""position"": 2}",62,2025-01-31 12:54:28.636672,2025-01-31 12:54:28.636672
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/30.0.817.0 Mobile/58E682 Safari/534.0"", ""ip"": ""47.29.18.73"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/11""}",63,2025-01-31 12:54:28.670044,2025-01-31 12:54:28.670044
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Windows 95; aa-ER; rv:1.9.1.20) Gecko/2014-06-09 04:50:21 Firefox/3.6.6"", ""ip"": ""202.53.209.191"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://russell.com""}",64,2025-01-31 12:54:28.704588,2025-01-31 12:54:28.704588
VISIT_RELATED_PRODUCT,"{""user-agent"": ""Mozilla/5.0 (Windows 95; aa-ER; rv:1.9.1.20) Gecko/2014-06-09 04:50:21 Firefox/3.6.6"", ""ip"": ""202.53.209.191"", ""customer-id"": null, ""product"": 10, ""position"": 5}",65,2025-01-31 12:54:28.771903,2025-01-31 12:54:28.771903
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Windows 95; aa-ER; rv:1.9.1.20) Gecko/2014-06-09 04:50:21 Firefox/3.6.6"", ""ip"": ""202.53.209.191"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/10""}",66,2025-01-31 12:54:28.806120,2025-01-31 12:54:28.806120
PAGE_VIEW,"{""user-agent"": ""Opera/8.55.(X11; Linux x86_64; brx-IN) Presto/2.9.183 Version/12.00"", ""ip"": ""133.18.157.143"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://smith.org""}",67,2025-01-31 12:54:28.846870,2025-01-31 12:54:28.846870
PAGE_VIEW,"{""user-agent"": ""Opera/8.55.(X11; Linux x86_64; brx-IN) Presto/2.9.183 Version/12.00"", ""ip"": ""133.18.157.143"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/14""}",68,2025-01-31 12:54:28.914582,2025-01-31 12:54:28.914582
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Windows CE; tcy-IN; rv:1.9.2.20) Gecko/2023-06-06 19:06:30 Firefox/3.8"", ""ip"": ""177.18.235.247"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/21""}",69,2025-01-31 12:54:28.987804,2025-01-31 12:54:28.987804
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Windows NT 4.0) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/19.0.865.0 Safari/532.2"", ""ip"": ""6.89.49.118"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com""}",70,2025-01-31 12:54:29.051168,2025-01-31 12:54:29.051168
SEARCH,"{""user-agent"": ""Mozilla/5.0 (Windows NT 4.0) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/19.0.865.0 Safari/532.2"", ""ip"": ""6.89.49.118"", ""customer-id"": null, ""query"": ""Horizontal multi-state open system""}",71,2025-01-31 12:54:29.114717,2025-01-31 12:54:29.114717
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2014-11-04 21:37:45 Firefox/3.6.1"", ""ip"": ""181.248.136.122"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com""}",72,2025-01-31 12:54:29.179385,2025-01-31 12:54:29.179385
SEARCH,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2014-11-04 21:37:45 Firefox/3.6.1"", ""ip"": ""181.248.136.122"", ""customer-id"": null, ""query"": ""Adaptive 4thgeneration throughput""}",73,2025-01-31 12:54:29.242737,2025-01-31 12:54:29.242737
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/44.0.845.0 Mobile/24W713 Safari/534.2"", ""ip"": ""104.162.159.9"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/category/7""}",74,2025-01-31 12:54:29.308128,2025-01-31 12:54:29.308128
PAGE_VIEW,"{""user-agent"": ""Opera/9.30.(Windows NT 5.01; ug-CN) Presto/2.9.169 Version/10.00"", ""ip"": ""89.99.177.112"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://russell.com""}",75,2025-01-31 12:54:29.346127,2025-01-31 12:54:29.346127
VISIT_RECENTLY_VISITED_PRODUCT,"{""user-agent"": ""Opera/9.30.(Windows NT 5.01; ug-CN) Presto/2.9.169 Version/10.00"", ""ip"": ""89.99.177.112"", ""customer-id"": null, ""product"": 4, ""position"": 6}",76,2025-01-31 12:54:29.408985,2025-01-31 12:54:29.408985
PAGE_VIEW,"{""user-agent"": ""Opera/9.30.(Windows NT 5.01; ug-CN) Presto/2.9.169 Version/10.00"", ""ip"": ""89.99.177.112"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com/products/4""}",77,2025-01-31 12:54:29.441646,2025-01-31 12:54:29.441646
SEARCH,"{""user-agent"": ""Opera/8.85.(X11; Linux i686; dv-MV) Presto/2.9.169 Version/11.00"", ""ip"": ""109.27.248.84"", ""customer-id"": null, ""query"": ""Integrated solution-oriented paradigm""}",78,2025-01-31 12:54:29.507050,2025-01-31 12:54:29.507050
PAGE_VIEW,"{""user-agent"": ""Mozilla/5.0 (Android 4.0.2; Mobile; rv:27.0) Gecko/27.0 Firefox/27.0"", ""ip"": ""29.50.152.249"", ""customer-id"": null, ""page"": ""https://xcc-webshop.com"", ""referrer"": ""https://russell.com""}",79,2025-01-31 12:54:29.541474,2025-01-31 12:54:29.541474
VISIT_RELATED_PRODUCT,"{""user-agent"": ""Mozilla/5.0 (Android 4.0.2; Mobile; rv:27.0) Gecko/27.0 Firefox/27.0"", ""ip"": ""29.50.152.249"", ""customer-id"": null, ""product"": 1, ""position"": 4}",80,2025-01-31 12:54:29.611163,2025-01-31 12:54:29.611163
